words level
depannage B1
depanner B1
depanneuse B2
depart A1.1
departement A2
departemental B2
depassement B2
depasser B1
depeche B2
depenser B1
depite B2
deplacement B1
deplacer B1
deplaire B2
deplorable B2
deposer B1
depot B2
deprecier B2
depressif B2
depression B1
deprime B2
deprime B1
deprimer B2
depuis A1
depute A1
deranger B1
derisoire B2
derivee B2
dermatologie B2
dermatologique B2
dermatologue B2
dernier A1.1
deroulement B2
derouler B2
deroutant B2
derouter B2
derriere A1.1
des B2
desaccord B1
desagreable B1
descendant B2
descendre A1.1
descente B1
desert A2
desertique B1
desespere B1
desesperer B1
desespoir B1
deshabiller B1
designation B2
designer B2
desodoriser B2
desordonne B1
desseche B2
dessecher B2
dessert A1.1
dessin A1.1
dessinateur B2
dessiner A1
dessous B1
"dessous de verre" B2
dessus B1
destinataire A2
destination B1
destruction B1
detache B2
detacher B1
detail B2
detaler B2
detendre B2
detente B2
detergent B2
determinant B2
detester A2
detour B2
detourner B2
"detourner les yeux/le regard" B1
detresse B2
detruire B1
deux A1
deuxieme A1
devaler B2
devant A1.1
"developpement  " B1
"developpement durable" B1
developper B1
devenir A2
deviation B2
deviner B1
devinette B2
devoir A1.1
devoirs A1
devorer B2
d'habitude B1
diabete B2
diabetique B2
diagnostic B2
diagonale B2
diagramme B2
dialecte B2
dialogue A2
diametre B2
d'ici B2
dictature B1
dictionnaire A1
diesel B2
dietetique B1
difference A1
different A1
difficile A1.1
diffuser B2
diffusion B2
digerer B1
digestif B1
digestion B1
digicode B2
digital B2
digue B2
diluer B2
dimanche A1.1
dimension B1
diminuer B1
dinde B2
dindon B2
diner A1.1
diplome A1
dire A1.1
direct A2
directeur A1
"directeur des ressources humaines" B2
direction A1
"direction des ressources humaines" B2
diriger B1
discernable B2
discerner B2
discipline B2
discotheque A2
discours B1
discret B1
discretion B1
discursif B2
discussion B1
discuter A2
disjoindre B2
disjoint B2
disjonction B2
disparaitre B1
disparition B1
disperser B2
disponibilite B2
disponible A2
disposer B2
disposition B2
dispute B2
disputer B1
disque B2
dissertation B2
dissoudre B2
distance A2
distancer B2
distant B2
distinction B2
distinguer B2
distraction B2
distraire B1
distrait B1
