words;level
coton-tige;B2
cou;A2
couche;B2
couché;A1
couché (être - );A2
coucher (se);A1.1
couchette;B2
coude;B2
couette;B1
couler;B2
couleur;A1.1
couleuvre;B2
coulisse;B2
couloir;A2
coup;A2
coupe;B2
couper;A2
couper (se);A2
couper les cheveux (se faire);B2
couple;A1
coupon;B2
coupure;B1
cour;A2
courage;A1
courageux;A2
couramment;B1
courant;B1
courbe;B1
courbé;B2
courber (se);B2
coureur;B2
courir;A1.1
courriel;A1
courrier;A1
courrier électronique;B2
cours;A1.1
cours de dessin;A1.1
cours élémentaire;B2
cours moyen;B2
cours préparatoire;B2
course;A2
course à pied;B2
courses (faire des - );A2
courses (faire les -);A1.1
court;A1
court métrage;B2
couscous;A2
cousin;B2
coût;B1
couteau;A1
coûter;A1.1
couture;B2
couvent;B2
couvert;B2
couverts;A2
couverture;B2
couverture sociale;B2
covoiturage;B1
crabe;B1
craie;B2
craindre;B2
crainte;B2
craintif;B2
crâne;B2
crânien;B2
crayon;A1.1
crayons de couleur;A1
créatif;B2
créativité;B2
crèche;A1
crédits;B2
créer;A2
crème;A1
crème à raser;B2
crème fraîche;B2
crémerie;B1
crémeux;B2
crémier;B2
crêpes;A2
crépu;B2
crépuscule;B2
crever;B2
crevettes;A2
cri;B1
crier;B1
crise;A1
cristal;B2
cristalliser;B2
critère;B2
critiquer;B1
crocodile;B1
croire;A1
croisé;B2
croisement;B2
croisière;B1
croissance;B1
croissant;A1.1
croître;B2
croix;B1
croyance;B2
croyant;B2
cru;B1
cruauté;B2
crucial;B2
cruel;B2
crustacé;B2
cube;B1
cube (mètre cube);B2
cubique;B2
cueillette;B2
cueillir;B2
cuillère;A1
cuillerée;B2
cuir;A1
cuire;A2
cuisine;A1.1
cuisiner;A2
cuisinier;B1
cuisinière;A1
cuisse;B2
cuisson;B1
cuit;B2
cuit (bien);B1
cuit à l'eau;B2
cuivre;B2
cuivré;B2
cul;B2
culotte;B2
culpabilité;B2
culte;B2
cultiver;B1
culture;B1
culture/ culturel;A2
curé;B2
curieusement;B2
curieux;B1
curiosité;B1
curriculum vitae (CV);B1
curry;B2
cybersécurité;B2
cycle;B2
cylindre;B2
cylindrique;B2
cyprès;B2
d'abord;A1
d'accord;A1
dames;B2
danger;A1
dangereux;B1
dans;A1.1
dans le bon sens;B2
dans le mauvais sens;B2
dans le passé;B2
dans quelques instants;B1
dans un premier temps;B1
danse;A2
danser;A1.1
danseur;A2
d'après;B1
date;A1
date de naissance;A1.1
date de validité;B1
datte;B2
dattier;B2
d'aujourd'hui;B2
dauphin;A2
daurade;B2
d'autre part;B2
davantage;B1
de ce côté-ci;B2
de ce côté-là;B2
de façon à ;B2
de force;B2
de moins;B2
de nos jours;B2
de nouveau;B2
de plus;B1
de temps en temps;B1
de travers;B2
de ville;B2
de…à…;A1
DEA;B2
débarquer;B2
débarras;B2
débat;B1
déboucher;B2
debout (être -);B1
débranchement;B2
débrancher;A2
débrouiller (se);B1
début;A2
débutant;A2
débuter;B2
décamper;B2
décédé;B2
décéder;B2
décembre;A1.1
déception;B2
